"","id","tipo","periodo","monto","mandatarios06","recibos"
"1",1,"Reg-Cov","",24667278,NA,NA
"2",1,"Reg-Cov","2019",1220472,NA,NA
"3",1,"Reg-Cov","2021",68202589.43,NA,NA
"4",1,"Reg-Cov","2022",247656379.75,NA,NA
"5",1,"Reg-Cov","A Vencer",630617,NA,228895989.8
"6",5,"Detectar","",8957365,NA,NA
"7",5,"Detectar","A Vencer",5647685,NA,NA
"8",5,"Reg-Cov","",2726357.4,NA,NA
"9",5,"Reg-Cov","2018",1743.68,NA,1743.66
"10",5,"Reg-Cov","2019",84206.14,NA,4936.14
"11",5,"Reg-Cov","2022",370631,NA,370631
"12",5,"Reg-Cov","A Vencer",7828064.99,NA,NA
"13",5,"Turismo","2022",41472366,NA,NA
"14",14,"Reg-Cov","2017",1156163.89,NA,NA
"15",14,"Reg-Cov","2018",36193125.35,NA,NA
"16",14,"Reg-Cov","2019",31062486.05,NA,NA
"17",14,"Reg-Cov","2021",17704.72,NA,NA
"18",101,"Reg-Cov","2017",8415.8,NA,NA
"19",101,"Reg-Cov","2018",15282.5,NA,NA
"20",102,"Reg-Cov","A Vencer",503743.7,NA,NA
"21",103,"Detectar","A Vencer",288653,NA,NA
"22",103,"Reg-Cov","A Vencer",168678,NA,NA
"23",106,"Detectar","A Vencer",314694,NA,NA
"24",106,"Reg-Cov","",851862.62,NA,1775.66
"25",106,"Reg-Cov","A Vencer",362640,NA,10032
"26",109,"Detectar","A Vencer",71196,NA,NA
"27",109,"Reg-Cov","",1092085.21,NA,NA
"28",109,"Reg-Cov","A Vencer",423154.38,NA,NA
"29",111,"Detectar","2021",378827,378827,NA
"30",111,"Detectar","2022",64347,64347,NA
"31",111,"Reg-Cov","",1226916.16,NA,NA
"32",111,"Reg-Cov","2021",4546282.07,4546282.07,NA
"33",111,"Reg-Cov","2022",8988929.34,8203275.26,NA
"34",111,"Reg-Cov","A Vencer",571765,NA,NA
"35",113,"Detectar","A Vencer",389934,NA,NA
"36",113,"Reg-Cov","2022",18123,NA,NA
"37",113,"Reg-Cov","A Vencer",256293,NA,505134
"38",116,"Detectar","A Vencer",756553,NA,NA
"39",116,"Reg-Cov","",764833.4,NA,344.25
"40",116,"Reg-Cov","2022",724787,NA,48577
"41",116,"Reg-Cov","A Vencer",1130571.5,NA,117147
"42",118,"Detectar","2022",11201,NA,NA
"43",118,"Turismo","2021",44460,NA,NA
"44",120,"Detectar","",20890,NA,NA
"45",120,"Detectar","2022",111138,NA,231744.62
"46",120,"Reg-Cov","",289712.45,NA,NA
"47",120,"Reg-Cov","2022",130848.62,NA,231744.62
"48",120,"Reg-Cov","A Vencer",102661.22,NA,NA
"49",121,"Reg-Cov","A Vencer",55480,NA,NA
"50",126,"Detectar","2021",31751,NA,1516171.78
"51",126,"Detectar","2022",39529,NA,780359.29
"52",126,"Detectar","A Vencer",83499,NA,NA
"53",126,"Reg-Cov","",68848,NA,NA
"54",126,"Reg-Cov","2021",4033830.39,NA,2051323.39
"55",126,"Reg-Cov","2022",7524895,NA,953819.29
"56",126,"Reg-Cov","A Vencer",119057,NA,NA
"57",127,"Detectar","A Vencer",647863,NA,NA
"58",127,"Reg-Cov","",421727,NA,NA
"59",127,"Reg-Cov","A Vencer",1211990.06,NA,NA
"60",128,"Detectar","A Vencer",76137,NA,61236
"61",129,"Reg-Cov","A Vencer",30977,NA,169334
"62",130,"Detectar","2022",19276,NA,NA
"63",130,"Reg-Cov","A Vencer",10492,NA,NA
"64",131,"Detectar","",1800881,NA,NA
"65",131,"Detectar","A Vencer",120353,NA,NA
"66",131,"Reg-Cov","",3461493.67,NA,NA
"67",131,"Reg-Cov","2019",1010,NA,NA
"68",131,"Reg-Cov","2020",126819,NA,NA
"69",131,"Reg-Cov","2021",1900646.86,NA,NA
