,cliente_id,cliente,fecha_minima,fecha_maxima,importe_cliente,importe_total,porcentaje_cliente,porcentaje_acumulado,Categoria
0,1,I.N.S.S.J y P.                                    ,2021-08-01,2022-07-31,2445364476.869999886,12504000454.969999313,19.5567,19.5567,1
1,174,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,2021-08-01,2022-07-31,895943498.679999948,12504000454.969999313,7.1653,26.722,1
2,325,SWISS MEDICAL S.A.                                ,2021-08-01,2022-07-31,720357610.529999971,12504000454.969999313,5.761,32.483000000000004,1
3,271,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,2021-08-01,2022-07-31,604669416.909999967,12504000454.969999313,4.8358,37.3188,1
4,395,OBRA SOCIAL DE LA CIUDAD DE BUENOS AIRES          ,2021-08-01,2022-07-31,374559601.180000007,12504000454.969999313,2.9955,40.3143,1
5,346,INSTITUTO DE OBRA MEDICO ASISTENCIAL              ,2021-08-01,2022-07-31,368488429.899999976,12504000454.969999313,2.947,43.261300000000006,1
6,178,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,2021-08-01,2022-07-31,359183977.519999981,12504000454.969999313,2.8726,46.133900000000004,1
7,167,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION       ,2021-08-01,2022-07-31,318294075.319999993,12504000454.969999313,2.5455,48.6794,1
8,176,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICU,2021-08-01,2022-07-31,304247767.720000029,12504000454.969999313,2.4332,51.1126,1
9,2033,AGENCIA NACIONAL DE DISCAPACIDAD                  ,2021-08-01,2022-07-31,303355714.939999998,12504000454.969999313,2.4261,53.5387,1
10,1069,INCLUIR SALUD MINIST. DE SALUD DE LA PROV. BS. AS.,2021-08-01,2022-07-31,283123847.199999988,12504000454.969999313,2.2643,55.803,1
11,460,GALENO ARGENTINA S.A.                             ,2021-08-01,2022-07-31,205041015.620000005,12504000454.969999313,1.6398,57.4428,1
