fecha,numero,tipo_anexo,estado,cant_dphs,financiador_sigla,financiador_nombre,importe_total
2020-01-15,12396,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,4209.00
2020-01-15,12397,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-15,12398,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-15,12399,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-15,12400,Oficio Judicial,Baja,,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-15,12401,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,3145.00
2020-01-15,12402,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,2454.00
2020-01-15,12403,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,566.00
2020-01-15,12404,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-21,12405,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-21,12406,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1090.00
2020-01-21,12407,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,7695.00
2020-01-22,12408,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-28,12409,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,3020.00
2020-01-28,12410,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-28,12411,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-30,12412,Internacion,Facturado,1.0,IOSFA,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS,3372.00
2020-01-30,12413,Internacion,Facturado,1.0,OSPAP,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA,28758.00
2020-01-30,12414,Internacion,Facturado,1.0,OSPEP,OBRA SOCIAL DEL PERSONAL DE PANADERIAS,17056.00
2020-01-30,12415,Internacion,Facturado,3.0,OSECAC,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,23003.00
2020-01-30,12416,Internacion,Facturado,1.0,IOMA,INSTITUTO DE OBRA MEDICO ASISTENCIAL,8528.00
2020-01-30,12417,Internacion,Facturado,1.0,UTA,OBRA SOCIAL CONDUCTORES DE TRANSPORTE DE COLECTIVOS DE PASAJEROS,18516.82
2020-01-30,12418,Internacion,Facturado,1.0,OSPLAD,OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE,79926.00
2020-01-30,12419,Internacion,Facturado,1.0,SCIENTIS,SCIENTIS MEDICAL GROUP SA,8528.00
2020-01-30,12420,Internacion,Facturado,1.0,OSPCYD,OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA,32659.00
2020-01-30,12421,Internacion,Facturado,1.0,OSPIM(MOLINERA),OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA,8528.00
2020-01-30,12422,Internacion,Facturado,1.0,OSPIT - Textil,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL,8528.00
2020-01-30,12423,Internacion,Facturado,1.0,SWISS MEDICAL,SWISS MEDICAL,3372.00
2020-01-30,12424,Internacion,Facturado,1.0,SIB BSAS,SOCIEDAD ITALIANA DE BENEFICENCIA DE BUENOS AIRES,8528.00
2020-01-30,12425,Internacion,Facturado,1.0,UOM,OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA,8528.00
2020-01-30,12426,Internacion,Facturado,1.0,PROVINCIA ART,PROVINCIA ART SA,11103.00
