"clienteid","SaldoHistorico"
107,0
109,248482
111,23564063
112,4117
113,187644
114,7466
116,3349241
117,0
118,63345
120,296755
121,56059
122,0
123,356
124,100745
125,2854
126,13007531
2008,1080452
127,9761933
128,41828
129,51187
130,123304
131,10756926
132,3091384
133,128997
134,0
135,436684
136,0
137,99237
138,326148
139,2957
140,2147758
141,424
142,57
143,363
144,964136
145,0
146,0
147,0
148,0
149,0
150,17428579
151,7706276
152,0
153,0
2060,7579
154,3022
156,144417
157,979191
158,3849580
159,681
161,129897
162,303
164,17410051
165,48451
166,0
160,11363158
167,83746227
168,5854099
169,1019025
171,6640858
172,6116811
173,0
174,642949197
175,2883644
176,413470841
170,0
177,367470
178,419675917
179,1141136
180,4290767
181,0
182,0
183,79623
184,1956415
185,0
186,53749
187,9275581
188,13295
189,1481928
190,74195
192,1334853
193,1683782
194,4632846
195,456416
196,11730860
197,0
198,0
199,2242407
2061,0
8,0
10,0
200,3746506
201,0
202,49436048
203,71180
204,6194295
205,10531029
207,90
208,7370
209,0
279,10419599
210,0
211,0
212,0
213,0
214,0
215,0
216,37145489
217,0
218,4932533
219,66419
220,134
221,0
223,1927634
224,331550
225,0
226,2469
227,74692658
11,0
228,0
230,0
231,1591
232,0
233,121031521
235,4128308
238,676081
241,163266
242,0
243,801453
244,10385025
246,0
247,8793231
236,0
248,0
249,190572
250,110865280
251,9331750
252,43453975
254,57
255,536706
256,676279
257,0
258,118336
259,274910
261,260196
900,241260
12,0
262,8889079
263,55669
264,41483336
265,3381772
266,271911
267,7569
268,1700
269,0
270,7820940
271,260908605
272,0
273,39665
274,18521315
275,9821814
277,0
278,0
280,51322
281,0
283,0
285,4107728
286,0
287,2619672
288,36824
289,756215
2062,0
290,1501963
291,0
292,14189954
293,9507143
294,40
295,0
296,1390045
297,0
298,11927
299,55252
300,0
301,7604716
302,385422
2063,483817
13,0
303,50667996
304,3209468
305,2891
306,0
307,280712
308,0
309,2539886
310,0
312,1175725
313,27848254
2064,2369828
314,30400992
315,7588969
316,9324940
317,13609
318,363893807
319,63254
320,18176
321,322992
322,12016478
323,1146
324,1350314
2065,0
325,381185486
326,11546924
327,40144035
329,5898
330,3825480
331,822233
332,9030
333,27843928
334,0
335,249945
336,0
14,68686152
337,5483476
338,2500
339,957
340,121896
342,170845
344,0
345,18139008
346,973535884
347,63750
348,8686435
2066,0
349,6149221
351,28549
352,240634
353,0
354,2424664
355,0
356,2492358
357,177607
359,8420702
360,5331800
361,104793
362,183562
2067,0
15,0
363,460011
365,477980
366,362796
367,855209
368,20743885
369,31522148
370,23030
372,2967599
373,172059
432,3852270
371,0
374,8503
375,99350262
377,21357
378,6307008
379,21356847
380,268845850
381,41346
382,11405947
383,4587811
384,6865273
2068,399211
101,443084
385,2685656
386,1657018
387,11886
