"","date","count"
"1",2020-01-01,1
"2",2020-01-02,8
"3",2020-01-03,11
"4",2020-01-04,9
"5",2020-01-05,11
"6",2020-01-06,16
"7",2020-01-07,16
"8",2020-01-08,21
"9",2020-01-09,22
"10",2020-01-10,23
"11",2020-01-11,28
"12",2020-01-12,27
"13",2020-01-13,30
"14",2020-01-14,33
"15",2020-01-15,39
"16",2020-01-16,38
"17",2020-01-17,41
"18",2020-01-18,45
"19",2020-01-19,45
"20",2020-01-20,52
"21",2020-01-21,52
"22",2020-01-22,56
"23",2020-01-23,61
"24",2020-01-24,59
"25",2020-01-25,56
"26",2020-01-26,58
"27",2020-01-27,62
"28",2020-01-28,64
"29",2020-01-29,62
"30",2020-01-30,55
"31",2020-01-31,52
"32",2020-02-01,50
"33",2020-02-02,52
"34",2020-02-03,57
"35",2020-02-04,54
"36",2020-02-05,54
"37",2020-02-06,54
"38",2020-02-07,56
"39",2020-02-08,53
"40",2020-02-09,53
"41",2020-02-10,58
"42",2020-02-11,51
"43",2020-02-12,58
"44",2020-02-13,62
"45",2020-02-14,58
"46",2020-02-15,57
"47",2020-02-16,60
"48",2020-02-17,63
"49",2020-02-18,59
"50",2020-02-19,62
"51",2020-02-20,63
"52",2020-02-21,54
"53",2020-02-22,51
"54",2020-02-23,51
"55",2020-02-24,52
"56",2020-02-25,50
"57",2020-02-26,55
"58",2020-02-27,51
"59",2020-02-28,53
"60",2020-02-29,43
"61",2020-03-01,48
"62",2020-03-02,56
"63",2020-03-03,57
"64",2020-03-04,51
"65",2020-03-05,51
"66",2020-03-06,57
"67",2020-03-07,48
"68",2020-03-08,52
"69",2020-03-09,54
"70",2020-03-10,57
"71",2020-03-11,54
"72",2020-03-12,52
"73",2020-03-13,49
"74",2020-03-14,48
"75",2020-03-15,49
"76",2020-03-16,50
"77",2020-03-17,49
"78",2020-03-18,46
"79",2020-03-19,42
"80",2020-03-20,36
"81",2020-03-21,34
"82",2020-03-22,35
"83",2020-03-23,35
"84",2020-03-24,32
"85",2020-03-25,35
"86",2020-03-26,27
"87",2020-03-27,28
"88",2020-03-28,23
"89",2020-03-29,22
"90",2020-03-30,25
"91",2020-03-31,24
