"","Fecha","Capita","Diagnostico","Sala","Cantidad"
"1",2021-01-02,"Capita","CoVid 19","GUARDIA",13
"2",2021-01-03,"Capita","CoVid 19","GUARDIA",15
"3",2021-01-04,"Capita","CoVid 19","GUARDIA",15
"4",2021-01-05,"Capita","CoVid 19","GUARDIA",16
"5",2021-01-06,"Capita","CoVid 19","GUARDIA",16
"6",2021-01-07,"Capita","CoVid 19","GUARDIA",17
"7",2021-01-08,"Capita","CoVid 19","GUARDIA",19
"8",2021-01-09,"Capita","CoVid 19","GUARDIA",18
"9",2021-01-10,"Capita","CoVid 19","GUARDIA",20
"10",2021-01-11,"Capita","CoVid 19","GUARDIA",21
"11",2021-01-12,"Capita","CoVid 19","GUARDIA",20
"12",2021-01-13,"Capita","CoVid 19","GUARDIA",18
"13",2021-01-14,"Capita","CoVid 19","GUARDIA",16
"14",2021-01-15,"Capita","CoVid 19","GUARDIA",12
"15",2021-01-16,"Capita","CoVid 19","GUARDIA",12
"16",2021-01-17,"Capita","CoVid 19","GUARDIA",11
"17",2021-01-18,"Capita","CoVid 19","GUARDIA",10
"18",2021-01-19,"Capita","CoVid 19","GUARDIA",12
"19",2021-01-20,"Capita","CoVid 19","GUARDIA",14
"20",2021-01-21,"Capita","CoVid 19","GUARDIA",13
"21",2021-01-22,"Capita","CoVid 19","GUARDIA",15
"22",2021-01-23,"Capita","CoVid 19","GUARDIA",14
"23",2021-01-24,"Capita","CoVid 19","GUARDIA",15
"24",2021-01-25,"Capita","CoVid 19","GUARDIA",15
"25",2021-01-26,"Capita","CoVid 19","GUARDIA",15
"26",2021-01-27,"Capita","CoVid 19","GUARDIA",16
"27",2021-01-28,"Capita","CoVid 19","GUARDIA",17
"28",2021-01-29,"Capita","CoVid 19","GUARDIA",15
"29",2021-01-30,"Capita","CoVid 19","GUARDIA",15
"30",2021-01-31,"Capita","CoVid 19","GUARDIA",17
"31",2021-02-01,"Capita","CoVid 19","GUARDIA",17
"32",2021-02-02,"Capita","CoVid 19","GUARDIA",19
"33",2021-02-03,"Capita","CoVid 19","GUARDIA",22
"34",2021-02-04,"Capita","CoVid 19","GUARDIA",22
"35",2021-02-05,"Capita","CoVid 19","GUARDIA",20
"36",2021-02-06,"Capita","CoVid 19","GUARDIA",20
"37",2021-02-07,"Capita","CoVid 19","GUARDIA",20
"38",2021-02-08,"Capita","CoVid 19","GUARDIA",18
"39",2021-02-09,"Capita","CoVid 19","GUARDIA",17
"40",2021-02-10,"Capita","CoVid 19","GUARDIA",19
"41",2021-02-11,"Capita","CoVid 19","GUARDIA",20
"42",2021-02-12,"Capita","CoVid 19","GUARDIA",20
"43",2021-01-02,"Capita","CoVid 19","PISO",36
"44",2021-01-03,"Capita","CoVid 19","PISO",40
"45",2021-01-04,"Capita","CoVid 19","PISO",45
"46",2021-01-05,"Capita","CoVid 19","PISO",46
"47",2021-01-06,"Capita","CoVid 19","PISO",45
"48",2021-01-07,"Capita","CoVid 19","PISO",46
"49",2021-01-08,"Capita","CoVid 19","PISO",46
"50",2021-01-09,"Capita","CoVid 19","PISO",42
"51",2021-01-10,"Capita","CoVid 19","PISO",40
"52",2021-01-11,"Capita","CoVid 19","PISO",44
"53",2021-01-12,"Capita","CoVid 19","PISO",44
"54",2021-01-13,"Capita","CoVid 19","PISO",45
"55",2021-01-14,"Capita","CoVid 19","PISO",47
"56",2021-01-15,"Capita","CoVid 19","PISO",53
"57",2021-01-16,"Capita","CoVid 19","PISO",48
"58",2021-01-17,"Capita","CoVid 19","PISO",52
"59",2021-01-18,"Capita","CoVid 19","PISO",51
"60",2021-01-19,"Capita","CoVid 19","PISO",54
"61",2021-01-20,"Capita","CoVid 19","PISO",51
"62",2021-01-21,"Capita","CoVid 19","PISO",47
"63",2021-01-22,"Capita","CoVid 19","PISO",43
"64",2021-01-23,"Capita","CoVid 19","PISO",38
"65",2021-01-24,"Capita","CoVid 19","PISO",38
"66",2021-01-25,"Capita","CoVid 19","PISO",40
"67",2021-01-26,"Capita","CoVid 19","PISO",40
"68",2021-01-27,"Capita","CoVid 19","PISO",38
"69",2021-01-28,"Capita","CoVid 19","PISO",40
"70",2021-01-29,"Capita","CoVid 19","PISO",41
"71",2021-01-30,"Capita","CoVid 19","PISO",39
"72",2021-01-31,"Capita","CoVid 19","PISO",42
"73",2021-02-01,"Capita","CoVid 19","PISO",45
"74",2021-02-02,"Capita","CoVid 19","PISO",45
"75",2021-02-03,"Capita","CoVid 19","PISO",48
"76",2021-02-04,"Capita","CoVid 19","PISO",45
"77",2021-02-05,"Capita","CoVid 19","PISO",43
"78",2021-02-06,"Capita","CoVid 19","PISO",40
"79",2021-02-07,"Capita","CoVid 19","PISO",38
"80",2021-02-08,"Capita","CoVid 19","PISO",41
"81",2021-02-09,"Capita","CoVid 19","PISO",40
"82",2021-02-10,"Capita","CoVid 19","PISO",40
"83",2021-02-11,"Capita","CoVid 19","PISO",40
"84",2021-02-12,"Capita","CoVid 19","PISO",40
"85",2021-01-08,"Capita","CoVid 19","UCO",1
"86",2021-01-09,"Capita","CoVid 19","UCO",1
"87",2021-01-10,"Capita","CoVid 19","UCO",1
"88",2021-01-11,"Capita","CoVid 19","UCO",1
"89",2021-01-12,"Capita","CoVid 19","UCO",1
"90",2021-01-13,"Capita","CoVid 19","UCO",1
"91",2021-01-14,"Capita","CoVid 19","UCO",1
"92",2021-01-15,"Capita","CoVid 19","UCO",1
"93",2021-01-16,"Capita","CoVid 19","UCO",1
"94",2021-01-17,"Capita","CoVid 19","UCO",1
"95",2021-01-18,"Capita","CoVid 19","UCO",1
"96",2021-01-19,"Capita","CoVid 19","UCO",1
"97",2021-01-20,"Capita","CoVid 19","UCO",1
"98",2021-01-21,"Capita","CoVid 19","UCO",1
"99",2021-01-22,"Capita","CoVid 19","UCO",1
"100",2021-01-23,"Capita","CoVid 19","UCO",1
"101",2021-01-24,"Capita","CoVid 19","UCO",1
"102",2021-01-25,"Capita","CoVid 19","UCO",1
"103",2021-01-26,"Capita","CoVid 19","UCO",1
"104",2021-01-27,"Capita","CoVid 19","UCO",1
"105",2021-01-28,"Capita","CoVid 19","UCO",1
"106",2021-01-29,"Capita","CoVid 19","UCO",1
"107",2021-01-30,"Capita","CoVid 19","UCO",1
"108",2021-01-31,"Capita","CoVid 19","UCO",1
"109",2021-02-01,"Capita","CoVid 19","UCO",1
"110",2021-02-02,"Capita","CoVid 19","UCO",1
"111",2021-02-03,"Capita","CoVid 19","UCO",1
"112",2021-02-04,"Capita","CoVid 19","UCO",1
"113",2021-02-05,"Capita","CoVid 19","UCO",1
"114",2021-02-06,"Capita","CoVid 19","UCO",1
