,centrocosto,financiadortipo,financiador,tipoimputacion,imputacion,importeimp,fechacobro,tipofactura,factura,fechaemision,importe,fechaentrega
5288,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DEL MTERIO. DE ECON. y OS. y SS.PUB,RECX2  ,8051,40023,12/22/2020,FACB2  ,11873,11/17/2020,40023,12/25/2020
3231,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DE TELECOMUNIC. SINDICATO BS. AS.  ,RECX2  ,7158,109484,9/21/2020,FACB2  ,9739,8/13/2020,35448,12/4/2020
5184,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REP ARG,RECX2  ,7975,317266.9,12/21/2020,FACB2  ,12012,11/24/2020,28576,11/24/2020
5249,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7972,62524,12/21/2020,FACB2  ,11779,11/16/2020,79734,11/19/2020
5256,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DE LA DIR. DE LA IND. VITIVINICOLA ,RECX2  ,8030,34830,12/21/2020,FACA2  ,3703,11/9/2020,34830,11/19/2020
5202,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA ,RECX2  ,7992,880745.22,12/21/2020,FACB2  ,11796,11/16/2020,49227,11/18/2020
5227,Seguridad Social y Privados,OS NACIONAL,"OS DE MANDOS, MEDIOS DE TELECOM. EN ARG. y MERCOSU",RECX2  ,7974,987164.47,12/21/2020,FACB2  ,11828,11/16/2020,70085.31,11/17/2020
5232,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST,RECX2  ,8013,31972,12/21/2020,FACB2  ,11714,11/12/2020,31972,11/17/2020
5254,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,8008,134513.92,12/21/2020,FACA2  ,3734,11/11/2020,28955,11/16/2020
5133,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST,RECX2  ,7982,107540,12/21/2020,FACA2  ,3751,11/11/2020,20148,11/13/2020
5207,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS LEGISLADORES DE LA REPUBLICA AR,RECX2  ,7987,5148,12/21/2020,FACA2  ,3753,11/11/2020,5148,11/13/2020
5226,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7997,103844,12/21/2020,FACB2  ,11601,11/10/2020,69388,11/13/2020
