tipocomprobantecodigo,comprobantecodigo
FACA2,2318
FACB2,6883
FACB2,6884
FACB2,6885
FACA2,2319
FACA2,2320
FACA2,2321
FACB2,6886
FACA2,2322
FACA2,2323
FACA2,2324
FACA2,2325
FACA2,2326
FACB2,6887
FACB2,6888
FACB2,6889
FACB2,6890
FACB2,6891
FACB2,6892
FACB2,6893
FACB2,6894
FACB2,6895
FACB2,6896
FACB2,6897
FACB2,6898
FAECA,89
FAECA,90
FACA2,2327
FACA2,2328
FACA2,2329
FACA2,2330
FACA2,2331
FACB2,6899
FACB2,6900
FACB2,6901
FACB2,6902
FACB2,6903
FACB2,6904
FACB2,6905
FACB2,6906
FACB2,6907
FACB2,6908
FACB2,6909
FACB2,6911
FACB2,6912
FAECA,91
FACA2,2332
FACB2,6913
FACB2,6914
FACB2,6915
FACB2,6916
FACB2,6917
FACB2,6918
FACB2,6919
FACB2,6920
FAECA,92
FACA2,2333
FACA2,2334
FACA2,2335
FACA2,2336
FACA2,2337
FACB2,6921
FACB2,6922
FACB2,6923
FACB2,6924
FACB2,6925
FACB2,6926
FACB2,6927
FACB2,6928
FACB2,6929
FACB2,6930
FACB2,6931
FACB2,6932
FACB2,6933
FACB2,6934
FACB2,6935
FACB2,6936
FACB2,6937
FACB2,6938
FACB2,6939
FACB2,6940
FACB2,6941
FACB2,6942
FACB2,6943
FACB2,6944
FACB2,6945
FACB2,6946
FACB2,6947
FAECA,93
FAECA,94
FAECA,95
FAECA,96
FAECA,97
FACA2,2338
FACA2,2339
FACA2,2340
FACA2,2341
FACA2,2342
FACA2,2343
FACB2,6948
FACB2,6949
FACB2,6950
FACB2,6951
FACB2,6952
FACB2,6953
FACB2,6954
FACB2,6955
FACB2,6956
FACB2,6957
FACB2,6958
FACB2,6959
FACB2,6960
FACB2,6961
FACB2,6962
FACB2,6963
FACB2,6964
FACB2,6965
FACB2,6966
FACB2,6967
FACB2,6968
FACA2,2344
FACA2,2345
FACA2,2346
FACA2,2347
FACA2,2348
FACA2,2349
FACB2,6969
FACB2,6970
FACB2,6971
FACB2,6972
FACB2,6973
FACB2,6974
FACB2,6975
FACB2,6976
FACB2,6977
FACB2,6978
FACB2,6979
FACB2,6980
FACA2,2350
FACA2,2351
FACA2,2352
FACB2,6981
FACB2,6982
FACB2,6983
FACB2,6984
FACB2,6985
FACB2,6986
FACB2,6987
FACB2,6988
FACB2,6989
FACB2,6990
FAECA,98
FACA2,2353
FACA2,2354
FACA2,2355
FACA2,2356
FACA2,2357
FACA2,2358
FACA2,2359
FACB2,6991
FACB2,6992
FACB2,6993
FACB2,6994
FACB2,6995
FACB2,6996
FACB2,6997
FACB2,6998
FACB2,6999
FACB2,7000
FACB2,7001
FACB2,7002
FAECA,99
FAECA,100
FAECA,101
FACA2,2360
FACA2,2361
FACA2,2362
FACA2,2363
FACB2,7003
FACB2,7004
FACB2,7005
FACB2,7006
FACB2,7007
FACB2,7008
FACB2,7009
FACB2,7010
FACB2,7011
FACB2,7012
FACB2,7013
FACB2,7014
FACB2,7015
FACB2,7016
FACB2,7017
FACB2,7018
FACB2,7019
FACB2,7020
FACB2,7021
FACB2,7022
FACB2,7023
FACB2,7024
FACB2,7025
FACB2,7026
FACB2,7027
FAECA,102
FAECA,103
FAECA,104
FACA2,2364
FACA2,2365
FACA2,2366
FACA2,2367
FACA2,2368
FACB2,7028
FACB2,7029
FACB2,7030
FACB2,7031
FACB2,7032
FACB2,7033
FACB2,7034
FACB2,7035
FACB2,7036
FACB2,7037
FACB2,7038
FACB2,7039
FACB2,7040
FACB2,7041
FACB2,7042
FACB2,7043
FACB2,7044
FACA2,2369
FACA2,2370
FACB2,7045
FACB2,7046
FACB2,7047
FACB2,7048
FACB2,7049
FACB2,7050
FACB2,7051
FACB2,7052
FACB2,7053
FACB2,7054
FAECA,105
FAECA,106
FAECA,107
FACA2,2371
FACA2,2372
FACA2,2373
FACA2,2374
FACA2,2375
FACB2,7055
FACB2,7056
FACB2,7057
FACB2,7058
FACB2,7059
FACB2,7060
FACB2,7061
FACB2,7062
FACB2,7063
FACB2,7064
FACB2,7065
FAECA,108
FAECA,109
FACA2,2376
FACA2,2377
FACB2,7066
FACB2,7067
FACB2,7068
FACB2,7069
FAECA,110
FAECA,111
FAECA,112
FACA2,2378
FACA2,2379
FACA2,2380
FACB2,7070
FACB2,7071
FACB2,7072
FACB2,7073
FACB2,7074
FACB2,7075
FACB2,7076
FACB2,7077
FACB2,7078
FACB2,7079
FACB2,7080
FACB2,7081
FACB2,7082
FACB2,7083
FACB2,7084
FACB2,7085
FACB2,7086
FACB2,7087
FACB2,7088
FACB2,7089
FACB2,7090
FACB2,7091
FACB2,7092
FACB2,7093
FACB2,7094
FACB2,7095
FACB2,7096
FACB2,7097
FACB2,7098
FACB2,7099
FACB2,7100
FACB2,7101
FACB2,7102
FAECA,113
FAECA,114
FAECA,115
FACA2,2381
FACA2,2382
FACA2,2383
FACA2,2384
FACA2,2385
FACA2,2386
FACA2,2387
FACA2,2388
FACA2,2389
FACA2,2390
FACA2,2391
FACA2,2392
FACB2,7103
FACB2,7104
FACB2,7105
FACB2,7106
FACB2,7107
FACB2,7108
FACB2,7109
FACB2,7110
FACB2,7111
FACB2,7112
FACB2,7113
FACB2,7114
FACB2,7115
FACB2,7116
FACB2,7117
FACB2,7118
FACB2,7119
FACB2,7120
FACB2,7121
FACB2,7122
FACB2,7123
FACB2,7124
FACB2,7125
FACB2,7126
FACB2,7127
FACB2,7128
FACB2,7129
FACB2,7130
FACB2,7131
FAECA,116
FAECA,117
FACA2,2393
FACB2,7132
FACB2,7133
FACB2,7134
FACB2,7135
FACB2,7136
FACB2,7137
FACB2,7138
FACB2,7139
FACB2,7140
FACB2,7141
FACB2,7142
FACB2,7143
FACB2,7144
FACB2,7145
FACB2,7146
FACA2,2394
FACA2,2395
FACA2,2396
FACA2,2397
FACA2,2398
FACA2,2399
FACA2,2400
FACA2,2401
FACA2,2402
FACA2,2403
FACA2,2404
FACA2,2405
FACA2,2406
FACA2,2407
FACB2,7147
FACB2,7148
FACB2,7149
FACB2,7150
FACB2,7151
FACB2,7152
FACB2,7153
FACB2,7154
FACB2,7155
FACB2,7156
FACB2,7157
FACB2,7158
FACB2,7159
FACB2,7160
FACB2,7161
FACB2,7162
FACB2,7163
FACB2,7164
FACB2,7165
FACB2,7166
FACB2,7167
FACB2,7168
FACA2,2408
FACA2,2409
FACB2,7169
FACB2,7170
FACB2,7171
FACB2,7173
FACA2,2410
FACB2,7175
FAECA,118
FACA2,2411
FACA2,2412
FACA2,2413
FACB2,7176
FACB2,7177
FACB2,7178
FACB2,7179
FACB2,7180
FACB2,7181
FACB2,7182
FAECA,119
FAECA,120
FACA2,2414
FACA2,2415
FACA2,2416
FACB2,7183
FACB2,7184
FACB2,7185
FACB2,7186
FACB2,7187
FACB2,7188
FACB2,7189
FACB2,7190
FACB2,7191
FACB2,7192
FACB2,7193
FAECA,121
FACA2,2417
FACB2,7194
FACB2,7195
FACB2,7196
FACB2,7197
FACB2,7198
FACB2,7199
FACB2,7200
FACA2,2418
FACA2,2419
FACA2,2420
FACB2,7201
FACB2,7202
FACB2,7203
FACB2,7204
FACB2,7205
FACB2,7206
FACB2,7207
FACB2,7208
FACB2,7209
FACB2,7210
FACB2,7211
FACB2,7212
FACB2,7213
FACB2,7214
FACB2,7215
FACB2,7216
FACB2,7217
FACB2,7218
FACB2,7219
FACB2,7220
FACB2,7221
FACB2,7222
FACB2,7223
FAECA,122
FAECA,123
FACA2,2421
FACA2,2422
FACA2,2423
FACA2,2424
FACA2,2425
FACB2,7224
FACB2,7225
FACB2,7226
FACB2,7227
FACB2,7228
FACB2,7229
FACB2,7230
FACB2,7231
FACB2,7232
FACB2,7233
FACB2,7234
FACB2,7235
FACB2,7236
FACB2,7237
FACB2,7238
FACB2,7239
FACB2,7240
FACB2,7241
FAECA,124
FAECA,125
FAECA,126
FACA2,2426
FACA2,2427
FACA2,2428
FACB2,7242
FACB2,7243
FACB2,7244
FACB2,7245
FACB2,7246
FACB2,7247
FACB2,7248
FACB2,7249
FACB2,7250
FACB2,7251
FACB2,7252
FAECA,127
FAECA,128
FACA2,2429
FACA2,2430
FACA2,2431
FACA2,2432
FACB2,7253
FACB2,7254
FACB2,7255
FACB2,7256
FACB2,7257
FACB2,7258
FACB2,7259
FACB2,7260
FACB2,7261
FACB2,7262
FACB2,7263
FACB2,7264
FAECA,129
FAECA,130
FACB2,7265
FACB2,7266
FACB2,7267
FACB2,7268
