"","tipocomprobantecodigo","comprobantecodigo"
"1","FACB2",6982
"2","FACB2",7301
"3","FACB2",7586
"4","FACB2",7772
"5","FACB2",8106
"6","FACB2",8260
"7","FACB2",8355
"8","FACB2",8452
"9","FACB2",8553
"10","FACB2",8692
"11","FACB2",8786
"12","FACB2",8843
"13","FACB2",8946
"14","FACB2",9159
"15","FACB2",9327
"16","FACB2",9397
"17","FACB2",9524
"18","FACB2",9641
"19","FACB2",9841
"20","FACB2",10037
"21","FACB2",10277
"22","FACB2",10641
"23","FACB2",10672
"24","FACB2",11036
"25","FACB2",11133
"26","FACB2",11269
"27","FACB2",11454
"28","FACB2",11488
"29","FACB2",11672
"30","FACB2",11721
"31","FACB2",11849
"32","FACB2",11922
"33","FACB2",12045
"34","FACB2",12140
"35","FACB2",12451
"36","FACB2",12552
"37","FACB2",12592
"38","FACB2",12602
"39","FACB2",12671
"40","FACB2",12807
"41","FACB2",13111
"42","FACB2",6982
"43","FACB2",7301
"44","FACB2",7586
"45","FACB2",7772
"46","FACB2",8106
"47","FACB2",8260
"48","FACB2",8355
"49","FACB2",8452
"50","FACB2",8553
"51","FACB2",8692
"52","FACB2",8786
"53","FACB2",8843
"54","FACB2",8946
"55","FACB2",9159
"56","FACB2",9327
"57","FACB2",9397
"58","FACB2",9524
"59","FACB2",9641
"60","FACB2",9841
"61","FACB2",10037
"62","FACB2",10277
"63","FACB2",10641
"64","FACB2",10672
"65","FACB2",11036
"66","FACB2",11133
"67","FACB2",11269
"68","FACB2",11454
"69","FACB2",11488
"70","FACB2",11672
"71","FACB2",11721
"72","FACB2",11849
"73","FACB2",11922
"74","FACB2",12045
"75","FACB2",12140
"76","FACB2",12451
"77","FACB2",12552
"78","FACB2",12592
"79","FACB2",12602
"80","FACB2",12671
"81","FACB2",12807
"82","FACB2",13111
"83","FACA2",2621
"84","FACA2",2686
"85","FACA2",3348
"86","FACA2",2409
"87","FACA2",2593
"88","FACA2",3632
"89","FACA2",4010
"90","FACA2",4033
"91","FACB2",8441
"92","FACB2",8893
"93","FACB2",10786
"94","FACB2",12778
"95","FACB2",12779
"96","FACB2",12780
"97","FACB2",6955
"98","FACB2",7101
"99","FACB2",7167
"100","FACB2",7238
"101","FACB2",7374
"102","FACB2",7508
"103","FACB2",7686
"104","FACB2",7844
"105","FACB2",7986
"106","FACB2",8079
"107","FACB2",8093
"108","FACB2",8212
"109","FACB2",8296
"110","FACB2",8356
"111","FACB2",8542
"112","FACB2",8551
"113","FACB2",8636
"114","FACB2",8772
"115","FACB2",8833
"116","FACB2",8901
"117","FACB2",8939
"118","FACB2",8957
"119","FACB2",9074
"120","FACB2",9142
"121","FACB2",9153
"122","FACB2",9309
"123","FACB2",9337
"124","FACB2",9351
"125","FACB2",9381
"126","FACB2",9506
"127","FACB2",9607
"128","FACB2",9780
"129","FACB2",9850
"130","FACB2",9907
"131","FACB2",9908
"132","FACB2",9960
"133","FACB2",9961
"134","FACB2",10144
"135","FACB2",10167
"136","FACB2",10196
"137","FACB2",10296
"138","FACB2",10399
"139","FACB2",10458
"140","FACB2",10503
"141","FACB2",10604
"142","FACB2",10711
"143","FACB2",10809
"144","FACB2",10863
"145","FACB2",10889
"146","FACB2",10914
"147","FACB2",11061
"148","FACB2",11079
"149","FACB2",11199
"150","FACB2",11254
"151","FACB2",11292
"152","FACB2",11298
"153","FACB2",11445
"154","FACB2",11567
"155","FACB2",11623
"156","FACB2",11679
"157","FACB2",11724
"158","FACB2",11733
"159","FACB2",11771
"160","FACB2",11826
"161","FACB2",11866
"162","FACB2",11977
"163","FACB2",11984
"164","FACB2",12058
"165","FACB2",12153
"166","FACB2",12174
"167","FACB2",12269
"168","FACB2",12286
"169","FACB2",12375
"170","FACB2",12465
"171","FACB2",12467
"172","FACB2",12553
"173","FACB2",12611
"174","FACB2",12700
"175","FACB2",12707
"176","FACB2",12757
"177","FACB2",12860
"178","FACB2",12879
"179","FACB2",12963
"180","FACB2",12988
"181","FACB2",13090
"182","FACB2",13142
"183","FACB2",13181
"184","FACB2",7095
"185","FACB2",8427
"186","FACB2",8693
"187","FACB2",11351
"188","FACB2",11906
"189","FACB2",12958
"190","FACA2",2417
"191","FACA2",2548
"192","FACA2",2689
"193","FACA2",2916
"194","FACA2",3383
"195","FACA2",3781
"196","FACA2",4103
"197","FACA2",2412
