"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"1",1789,"FACB2 - 7815","327 - OSPG",2020-04-13,243564,2020-05-29,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8410",2021-01-22,241630,0
"2",1789,"FACB2 - 8139","327 - OSPG",2020-05-15,178382,2020-07-05,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8412",2021-01-22,168165,370
"3",1789,"FACB2 - 8254","327 - OSPG",2020-05-26,125610.76,2020-07-10,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8412",2021-01-22,48621.57,193
"4",1789,"FACB2 - 8254","327 - OSPG",2020-05-26,125610.76,2020-07-10,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8413",2021-01-22,74267.19,193
"5",1789,"FACB2 - 8474","327 - OSPG",2020-06-09,32809,2020-07-10,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8413",2021-01-22,30653,2156
"6",1789,"FACB2 - 8770","327 - OSPG",2020-06-29,25201,2020-08-20,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8413",2021-01-22,25201,0
"7",1789,"FACB2 - 9037","327 - OSPG",2020-07-15,82980,2020-09-10,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8413",2021-01-22,31629,51351
"8",1789,"FACB2 - 9367","327 - OSPG",2020-07-28,63646,2020-08-30,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8413",2021-01-22,48202,0
"9",1789,"FACB2 - 9619","327 - OSPG",2020-08-11,22844,2020-09-20,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8414",2021-01-22,22844,0
"10",1789,"FACB2 - 9732","327 - OSPG",2020-08-13,38302,2020-10-01,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8414",2021-01-22,25754,0
"11",1789,"FACB2 - 9967","327 - OSPG",2020-08-24,21912,2020-10-04,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8414",2021-01-22,19756,0
"12",1789,"FACB2 - 10026","327 - OSPG",2020-08-25,91754,2020-10-03,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8414",2021-01-22,81772,7777
"13",1789,"FACB2 - 10283","327 - OSPG",2020-09-10,59412,2020-10-14,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8414",2021-01-22,48540,0
"14",1771,"FACB2 - 9383","318 - OSUTHGRA",2020-07-28,237200,2020-10-11,2021-01-07 00:00:00,2021-01-19,"NCB - 4253",2021-01-25,25796,211404
"15",1771,"FACB2 - 9838","318 - OSUTHGRA",2020-08-18,140574,2020-10-18,2021-01-07 00:00:00,2021-01-19,"NCB - 4263",2021-01-26,18528,122046
"16",1771,"FACB2 - 9785","318 - OSUTHGRA",2020-08-14,152316,2020-10-11,2021-01-07 00:00:00,2021-01-19,"NCB - 4265",2021-01-26,37348,114968
"17",1773,"FACA2 - 3347","227 - ANDAR",2020-09-10,228661.4,2020-10-11,2021-01-07 00:00:00,2021-01-19,"NCA - 1518",2021-01-27,10077,0
"18",1775,"FACB2 - 7509","303 - OSPETAX",2020-03-11,881535.19,2020-04-18,2021-01-07 00:00:00,2021-01-19,"NCB - 4330",2021-01-29,256730,0
